tab delimited	contribution
data_model_version	description
1.0	Downloaded from KdD at 2026-08-14T14:54:01.167Z.
>>>>>>>>>>
tab delimited	kds
contribution_id	rock_types	minerals	element	kd	kd_sigma	kd_low	kd_high	kd_definition	kd_types
4	Ankaramite:Basalt	Clinopyroxene	Yb	0.294				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Clinopyroxene	Sm	0.26				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Clinopyroxene	Ce	0.077				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Clinopyroxene	Eu	0.273				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Clinopyroxene	Gd	0.325				Solid-Melt	Interpolated
4	Ankaramite:Basalt	Clinopyroxene	Er	0.33				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Clinopyroxene	Nd	0.174				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Clinopyroxene	Dy	0.351				Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Sr	0.109				Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Ba	0.0035				Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Gd	0.82				Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Tb			0.046	0.97	Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Cr	4.22				Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	La	0.084				Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Ce			0.0026	0.166	Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Sm			0.014	0.736	Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Li	0.26				Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Eu			0.023	0.753	Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Yb			0.107	1.01	Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Lu			0.111	0.95	Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Sc			1.23	2.92	Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Mn			1.27	1.44	Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Co			1.12	2.08	Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	Zn	0.41				Solid-Melt	Phenocryst-Matrix
6	Basalt	Clinopyroxene	In			0.45	1.67	Solid-Melt	Phenocryst-Matrix
