tab delimited	contribution
data_model_version	description
1.0	Downloaded from KdD at 2026-08-14T14:55:12.285Z.
>>>>>>>>>>
tab delimited	kds
contribution_id	rock_types	minerals	element	kd	kd_sigma	kd_low	kd_high	kd_definition	kd_types
4	Ankaramite:Basalt	Olivine	Dy	0.014				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Olivine	Eu	0.01				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Olivine	Yb	0.023				Solid-Melt	Interpolated
4	Ankaramite:Basalt	Olivine	Nd	0.01				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Olivine	Er	0.017				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Olivine	Sm	0.011				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Olivine	Ce	0.009				Solid-Melt	Phenocryst-Matrix
4	Ankaramite:Basalt	Olivine	Gd	0.012				Solid-Melt	Phenocryst-Matrix
7	Ankaramite:Basalt	Olivine	Ba			0.00864	0.0112	Solid-Melt	Phenocryst-Matrix
7	Basalt	Olivine	Rb			0.00839	0.0133	Solid-Melt	Phenocryst-Matrix
7	Basalt	Olivine	Sr			0.00937	0.0185	Solid-Melt	Phenocryst-Matrix
7	Basalt	Olivine	K			0.0056	0.00809	Solid-Melt	Phenocryst-Matrix
18	Basalt	Olivine	Ca	0.0094				Solid-Melt	Phenocryst-Matrix
18	Basalt	Olivine	Tb	0.00518				Solid-Melt	Phenocryst-Matrix
18	Basalt	Olivine	Lu	0.0139				Solid-Melt	Phenocryst-Matrix
18	Basalt	Olivine	Eu	0.00455				Solid-Melt	Phenocryst-Matrix
18	Basalt	Olivine	Yb	0.0087				Solid-Melt	Phenocryst-Matrix
18	Basalt	Olivine	Sm	0.0027				Solid-Melt	Phenocryst-Matrix
20	Basalt	Olivine	Cu	0.023				Solid-Melt	Phenocryst-Matrix
20	Basalt	Olivine	La	0.0084				Solid-Melt	Phenocryst-Matrix
20	Basalt	Olivine	Nd	0.008				Solid-Melt	Phenocryst-Matrix
18	Basalt	Olivine	Mg	8				Solid-Melt	Phenocryst-Matrix
20	Basalt	Olivine	Sm	0.006				Solid-Melt	Phenocryst-Matrix
20	Basalt	Olivine	Ho	0.05				Solid-Melt	Phenocryst-Matrix
20	Basalt	Olivine	Yb	0.28				Solid-Melt	Phenocryst-Matrix
20	Basalt	Olivine	Tb	0.01				Solid-Melt	Phenocryst-Matrix
20	Basalt	Olivine	Sc	0.33				Solid-Melt	Phenocryst-Matrix
18	Basalt	Olivine	La	0.00263				Solid-Melt	Phenocryst-Matrix
20	Basalt	Olivine	Ga				0.25	Solid-Melt	Phenocryst-Matrix
20	Basalt	Olivine	Ba				0.05	Solid-Melt	Phenocryst-Matrix
20	Basalt	Olivine	Eu	0.008				Solid-Melt	Phenocryst-Matrix
29	Basalt	Olivine	Fe	1.85				Solid-Melt	Experimental
