tab delimited	contribution
data_model_version	description
1.0	Downloaded from KdD at 2026-08-14T14:33:34.089Z.
>>>>>>>>>>
tab delimited	kds
contribution_id	rock_types	minerals	element	kd	kd_sigma	kd_low	kd_high	kd_definition	kd_types
17	Basanite	Amphibole	Ba	0.6				Solid-Melt	Experimental
17	Basanite	Amphibole	Nb	0.08				Solid-Melt	Experimental
17	Basanite	Amphibole	Rb	0.58				Solid-Melt	Experimental
17	Basanite	Amphibole	Sr	0.26				Solid-Melt	Experimental
17	Basanite	Amphibole	Zr	0.33				Solid-Melt	Experimental
17	Basanite	Amphibole	Y	0.41				Solid-Melt	Experimental
17	Basanite	Amphibole	Ta	0.08				Solid-Melt	Experimental
89	Basanite	Amphibole	Sr	0.298				Solid-Melt	Experimental
89	Basanite	Amphibole	Zr	0.127				Solid-Melt	Experimental
89	Basanite	Amphibole	Nb	0.159				Solid-Melt	Experimental
89	Basanite	Amphibole	Ba	0.16				Solid-Melt	Experimental
89	Basanite	Amphibole	Be	0.124				Solid-Melt	Experimental
89	Basanite	Amphibole	La	0.055				Solid-Melt	Experimental
89	Basanite	Amphibole	Pr	0.17				Solid-Melt	Experimental
89	Basanite	Amphibole	Gd	0.32				Solid-Melt	Experimental
89	Basanite	Amphibole	Ho	0.62				Solid-Melt	Experimental
89	Basanite	Amphibole	Hf	0.33				Solid-Melt	Experimental
89	Basanite	Amphibole	Ce	0.096				Solid-Melt	Experimental
89	Basanite	Amphibole	Er	0.57				Solid-Melt	Experimental
89	Basanite	Amphibole	Tm	0.51				Solid-Melt	Experimental
89	Basanite	Amphibole	F	1.65				Solid-Melt	Experimental
89	Basanite	Amphibole	Na	0.73				Solid-Melt	Experimental
89	Basanite	Amphibole	Y	0.52				Solid-Melt	Experimental
89	Basanite	Amphibole	Rb	0.2				Solid-Melt	Experimental
89	Basanite	Amphibole	Nd	0.25		0.25		Solid-Melt	Experimental
89	Basanite	Amphibole	Th	0.0039				Solid-Melt	Experimental
89	Basanite	Amphibole	Yb	0.43				Solid-Melt	Experimental
89	Basanite	Amphibole	Pb	0.04				Solid-Melt	Experimental
89	Basanite	Amphibole	U	0.0041				Solid-Melt	Experimental
