tab delimited	contribution
data_model_version	description
1.0	Downloaded from KdD at 2026-08-14T14:44:27.428Z.
>>>>>>>>>>
tab delimited	kds
contribution_id	rock_types	minerals	element	kd	kd_high	kd_definition	kd_types
118	Lamprophyre	Biotite	Rb	5.18		Solid-Melt	Phenocryst-Matrix
118	Lamprophyre	Biotite	Sr	0.183		Solid-Melt	Phenocryst-Matrix
118	Lamprophyre	Biotite	Zr	0.0232		Solid-Melt	Phenocryst-Matrix
118	Lamprophyre	Biotite	Nb	0.0853		Solid-Melt	Phenocryst-Matrix
118	Lamprophyre	Biotite	Ba	3.48		Solid-Melt	Phenocryst-Matrix
118	Lamprophyre	Biotite	Cs	0.626		Solid-Melt	Phenocryst-Matrix
118	Lamprophyre	Clinopyroxene	Ce	0.0843		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Ba	0.00061		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Dy	0.378		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Yb	0.265		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Nd	0.173		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Eu	0.336		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Tb	0.363		Solid-Melt	Experimental
118	Lamprophyre	Biotite	Y	0.007		Solid-Melt	Phenocryst-Matrix
118	Lamprophyre	Clinopyroxene	Y	0.438		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	La	0.0435		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Sm	0.283		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Gd	0.364		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Er	0.297		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Pb	0.0056		Solid-Melt	Experimental
118	Lamprophyre	Biotite	Li	0.144		Solid-Melt	Phenocryst-Matrix
118	Lamprophyre	Biotite	Ta	0.1069		Solid-Melt	Phenocryst-Matrix
118	Lamprophyre	Biotite	Th		0.0145	Solid-Melt	Phenocryst-Matrix
118	Lamprophyre	Clinopyroxene	Rb	0.0047		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Sr	0.0963		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Zr	0.121		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Sm	0.312		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Ho	0.351		Solid-Melt	Experimental
118	Lamprophyre	Clinopyroxene	Tm	0.313		Solid-Melt	Experimental
118	Lamprophyre	Biotite	Ce	0.0078		Solid-Melt	Phenocryst-Matrix
118	Lamprophyre	Clinopyroxene	Nb	0.0027		Solid-Melt	Experimental
